Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved,Complexity,Class
343A,Rational Resistance,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,3400,0.489,Medium,
342E,Xenia and Tree,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Trees,data structures|divide and conquer|trees,964,0.857,Hard,
342D,Xenia and Dominoes,Bitmasks|Dfs and similar|Dynamic programming,bitmasks|dfs and similar|dp,275,0.728,Medium,
342C,Cupboard and Balloons,Geometry computational geometry,geometry,1149,0.781,Hard,
342B,Xenia and Spies,Brute force|Greedy algorithms|Implementation problems programming technics simulation,brute force|greedy|implementation,2066,0.353,Easy,
342A,Xenia and Divisors,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,3700,0.353,Easy,
341E,Candies Game,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,135,0.433,Medium,
341D,Iahub and Xors,Heaps binary search trees segment trees hash tables etc,data structures,401,0.739,Hard,
340E,Iahub and Permutations,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,1049,0.687,Medium,
340D,Bubble Sort Graph,Binary search|Heaps binary search trees segment trees hash tables etc|Dynamic programming,binary search|data structures|dp,2315,0.739,Hard,
340C,Tourist Problem,Combinatorics|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,combinatorics|implementation|math,2042,0.687,Medium,
340B,Maximal Area Quadrilateral,Brute force|Geometry computational geometry,brute force|geometry,967,0.781,Hard,
340A,The Wall,Mathematics including integration differential equations etc,math,4348,0.366,Easy,
339E,Three Swaps,Constructive algorithms|Dfs and similar|Greedy algorithms,constructive algorithms|dfs and similar|greedy,289,0.645,Medium,
339D,Xenia and Bit Operations,Heaps binary search trees segment trees hash tables etc|Trees,data structures|trees,3314,0.756,Hard,
339C,Xenia and Weights,Constructive algorithms|Dfs and similar|Dynamic programming|Greedy algorithms,constructive algorithms|dfs and similar|dp|greedy,2610,0.706,Medium,
339B,Xenia and Ringroad,Implementation problems programming technics simulation,implementation,9236,0.0,Easy,
339A,Helpful Maths,Greedy algorithms|Implementation problems programming technics simulation|Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,greedy|implementation|sortings|strings,17369,0.353,Easy,
338E,Optimize!,Heaps binary search trees segment trees hash tables etc,data structures,293,0.739,Hard,
338D,GCD Table,Сhinese remainder theorem|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,chinese remainder theorem|math|number theory,238,0.663,Medium,
337E,Divisor Tree,Brute force|Number theory: Euler function GCD divisibility etc|Trees,brute force|number theory|trees,592,0.756,Hard,
337D,Book of Evil,Dfs and similar|Divide and Conquer|Dynamic programming|Trees,dfs and similar|divide and conquer|dp|trees,1458,0.857,Hard,
337C,Quiz,Binary search|Greedy algorithms|Mathematics including integration differential equations etc|Matrix multiplication determinant Cramer's rule systems of linear equations|Number theory: Euler function GCD divisibility etc,binary search|greedy|math|matrices|number theory,2332,0.861,Hard,
337B,Routine Problem,Greedy algorithms|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,greedy|math|number theory,2713,0.489,Medium,
337A,Puzzles,Dynamic programming|Graph matchings König's theorem vertex cover of bipartite graph|Greedy algorithms,dp|graph matchings|greedy,12401,0.706,Medium,
336E,Vasily the Bear and Painting Square,Bitmasks|Combinatorics|Dynamic programming|Implementation problems programming technics simulation,bitmasks|combinatorics|dp|implementation,53,0.728,Medium,
336D,Vasily the Bear and Beautiful Strings,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,508,0.687,Medium,
336C,Vasily the Bear and Sequence,Brute force|Greedy algorithms|Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,brute force|greedy|implementation|number theory,1400,0.489,Medium,
336B,Vasily the Bear and Fly,Mathematics including integration differential equations etc,math,892,0.366,Easy,
336A,Vasily the Bear and Triangle,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,4180,0.366,Easy,
335F,Buy One Get One Free,Dynamic programming|Greedy algorithms,dp|greedy,63,0.706,Medium,
335E,Counting Skyscrapers,Dynamic programming|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc,dp|math|probabilities,65,0.802,Hard,
335D,Rectangles and Square,Brute force|Dynamic programming,brute force|dp,175,0.706,Medium,
335C,More Reclamation,Games Sprague–Grundy theorem,games,334,0.663,Medium,
335B,Palindrome,Constructive algorithms|Dynamic programming,constructive algorithms|dp,774,0.706,Medium,
335A,Banana,Binary search|Constructive algorithms|Greedy algorithms,binary search|constructive algorithms|greedy,980,0.582,Medium,
334B,Eight Point Sets,Sortings orderings,sortings,2182,0.275,Easy,
334A,Candy Bags,Implementation problems programming technics simulation,implementation,6062,0.0,Easy,
333E,Summer Earnings,Binary search|Bitmasks|Brute force|Geometry computational geometry|Sortings orderings,binary search|bitmasks|brute force|geometry|sortings,318,0.781,Hard,
333D,Characteristics of Rectangles,Binary search|Bitmasks|Brute force|Implementation problems programming technics simulation|Sortings orderings,binary search|bitmasks|brute force|implementation|sortings,812,0.728,Medium,
333C,Lucky Tickets,Brute force|Constructive algorithms,brute force|constructive algorithms,207,0.433,Medium,
333B,Chips,Greedy algorithms,greedy,1504,0.353,Easy,
333A,Secrets,Greedy algorithms,greedy,2556,0.353,Easy,
332E,Binary Key,Dynamic programming|Greedy algorithms|Implementation problems programming technics simulation,dp|greedy|implementation,146,0.706,Medium,
332D,Theft of Blueprints,Graphs|Mathematics including integration differential equations etc,graphs|math,207,0.705,Medium,
332C,Students' Revenge,Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Sortings orderings,data structures|greedy|sortings,519,0.739,Hard,
332B,Maximum Absurdity,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Implementation problems programming technics simulation,data structures|dp|implementation,2678,0.739,Hard,
332A,Down the Hatch!,Implementation problems programming technics simulation,implementation,2713,0.0,Easy,
331E2,Deja Vu,Constructive algorithms|Dynamic programming,constructive algorithms|dp,37,0.706,Medium,
331E1,Deja Vu,Constructive algorithms|Graphs|Implementation problems programming technics simulation,constructive algorithms|graphs|implementation,32,0.705,Medium,
331D3,Escaping on Beaveractor,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation|Trees,data structures|implementation|trees,49,0.756,Hard,
331D2,Escaping on Beaveractor,Graphs,graphs,57,0.705,Medium,
331D1,Escaping on Beaveractor,Dfs and similar|Implementation problems programming technics simulation,dfs and similar|implementation,108,0.645,Medium,
331C3,The Great Julya Calendar,Dynamic programming,dp,205,0.706,Medium,
331C2,The Great Julya Calendar,Dynamic programming,dp,169,0.706,Medium,
331C1,The Great Julya Calendar,Dynamic programming,dp,1218,0.706,Medium,
331B2,Shave Beaver!,Heaps binary search trees segment trees hash tables etc,data structures,454,0.739,Hard,
331B1,Shave Beaver!,Implementation problems programming technics simulation,implementation,573,0.0,Easy,
331A2,Oh Sweet Beaverette,Heaps binary search trees segment trees hash tables etc|Sortings orderings,data structures|sortings,859,0.739,Hard,
331A1,Oh Sweet Beaverette,Brute force|Implementation problems programming technics simulation,brute force|implementation,940,0.298,Easy,
330B,Road Construction,Constructive algorithms|Graphs,constructive algorithms|graphs,4308,0.705,Medium,
330A,Cakeminator,Brute force|Implementation problems programming technics simulation,brute force|implementation,6876,0.298,Easy,
329E,Evil,Mathematics including integration differential equations etc,math,66,0.366,Easy,
329D,The Evil Temple and the Moving Rocks,Constructive algorithms,constructive algorithms,211,0.433,Medium,
329C,Graph Reconstruction,Constructive algorithms,constructive algorithms,451,0.433,Medium,
329B,Biridian Forest,Dfs and similar|Shortest paths on weighted and unweighted graphs,dfs and similar|shortest paths,2238,0.732,Hard,
329A,Purification,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,2695,0.433,Medium,
328B,Sheldon and Ice Pieces,Greedy algorithms,greedy,472,0.353,Easy,
328A,IQ Test,Implementation problems programming technics simulation,implementation,700,0.0,Easy,
327E,Axis Walking,Bitmasks|Combinatorics|Constructive algorithms|Dynamic programming|Meet-in-the-middle,bitmasks|combinatorics|constructive algorithms|dp|meet-in-the-middle,480,0.728,Medium,
327D,Block Tower,Constructive algorithms|Dfs and similar|Graphs,constructive algorithms|dfs and similar|graphs,1148,0.705,Medium,
327C,Magic Five,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,1663,0.687,Medium,
327B,Hungry Sequence,Mathematics including integration differential equations etc,math,4773,0.366,Easy,
327A,Flipping Game,Brute force|Dynamic programming|Implementation problems programming technics simulation,brute force|dp|implementation,8041,0.706,Medium,
325E,The Red Button,Combinatorics|Dfs and similar|Disjoint set union|Greedy algorithms,combinatorics|dfs and similar|dsu|greedy,223,0.687,Medium,
325D,Reclamation,Disjoint set union,dsu,173,0.686,Medium,
325C,Monsters and Diamonds,Dfs and similar|Shortest paths on weighted and unweighted graphs,dfs and similar|shortest paths,150,0.732,Hard,
325B,Stadium and Games,Binary search|Mathematics including integration differential equations etc,binary search|math,804,0.582,Medium,
325A,Square and Rectangles,Implementation problems programming technics simulation,implementation,1394,0.0,Easy,
323C,Two permutations,Heaps binary search trees segment trees hash tables etc,data structures,173,0.739,Hard,
323B,Tournament-graph,Constructive algorithms,constructive algorithms,163,0.433,Medium,
323A,Black-and-White Cube,Combinatorics|Constructive algorithms,combinatorics|constructive algorithms,282,0.687,Medium,
322B,Ciel and Flowers,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,3297,0.687,Medium,
322A,Ciel and Dancing,Greedy algorithms,greedy,4585,0.353,Easy,
321E,Ciel and Gondolas,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Dynamic programming,data structures|divide and conquer|dp,573,0.857,Hard,
321D,Ciel and Flipboard,Dynamic programming|Greedy algorithms|Mathematics including integration differential equations etc,dp|greedy|math,167,0.706,Medium,
321C,Ciel the Commander,Constructive algorithms|Dfs and similar|Divide and Conquer|Greedy algorithms|Trees,constructive algorithms|dfs and similar|divide and conquer|greedy|trees,1038,0.857,Hard,
321B,Ciel and Duel,Dynamic programming|Graph network flows|Greedy algorithms,dp|flows|greedy,1174,0.877,Hard,
321A,Ciel and Robot,Binary search|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,binary search|implementation|math,2177,0.582,Medium,
320B,Ping-Pong (Easy Version),Dfs and similar|Graphs,dfs and similar|graphs,2380,0.705,Medium,
320A,Magic Numbers,Brute force|Greedy algorithms,brute force|greedy,5861,0.353,Easy,
319E,Ping-Pong,Heaps binary search trees segment trees hash tables etc,data structures,151,0.739,Hard,
319D,Have You Ever Heard About the Word?,Greedy algorithms|Hashing hashtables|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,greedy|hashing|string suffix structures|strings,215,0.825,Hard,
319C,Kalila and Dimna in the Logging Industry,Dynamic programming|Geometry computational geometry,dp|geometry,1019,0.781,Hard,
319B,Psychos in a Line,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,1334,0.739,Hard,
319A,Malek Dance Club,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,1566,0.687,Medium,
318B,Strings of Power,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc|Two pointers,implementation|strings|two pointers,3406,0.528,Medium,
318A,Even Odds,Mathematics including integration differential equations etc,math,10423,0.366,Easy,
317E,Princess and Her Shadow,Constructive algorithms|Shortest paths on weighted and unweighted graphs,constructive algorithms|shortest paths,70,0.732,Hard,
317D,Game with Powers,Dynamic programming|Games Sprague–Grundy theorem,dp|games,504,0.706,Medium,
317C,Balance,Constructive algorithms|Dfs and similar|Graphs|Trees,constructive algorithms|dfs and similar|graphs|trees,284,0.756,Hard,
317B,Ants,Brute force|Implementation problems programming technics simulation,brute force|implementation,1153,0.298,Easy,
317A,Perfect Pair,Brute force,brute force,2823,0.298,Easy,
316G3,Good Substrings,Suffix arrays suffix trees suffix automatas etc,string suffix structures,170,0.825,Hard,
316G2,Good Substrings,Suffix arrays suffix trees suffix automatas etc,string suffix structures,269,0.825,Hard,
316G1,Good Substrings,Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,hashing|strings,632,0.714,Medium,
316F3,Suns and Rays,Constructive algorithms|Dfs and similar|Implementation problems programming technics simulation,constructive algorithms|dfs and similar|implementation,110,0.645,Medium,
316F2,Suns and Rays,,,107,0.938,Hard,
316F1,Suns and Rays,Dfs and similar|Implementation problems programming technics simulation,dfs and similar|implementation,120,0.645,Medium,
316E3,Summer Homework,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc,data structures|math,268,0.739,Hard,
316E2,Summer Homework,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc,data structures|math,262,0.739,Hard,
316E1,Summer Homework,Brute force|Heaps binary search trees segment trees hash tables etc,brute force|data structures,1094,0.739,Hard,
316D3,PE Lesson,Dynamic programming|Mathematics including integration differential equations etc,dp|math,238,0.706,Medium,
316D2,PE Lesson,Dynamic programming,dp,226,0.706,Medium,
316D1,PE Lesson,Brute force|Dynamic programming,brute force|dp,252,0.706,Medium,
316C2,Tidying Up,Graph network flows|Graph matchings König's theorem vertex cover of bipartite graph,flows|graph matchings,320,0.877,Hard,
316C1,Tidying Up,Graph network flows,flows,343,0.877,Hard,
316B2,EKG,Dfs and similar|Dynamic programming,dfs and similar|dp,1140,0.706,Medium,
316B1,EKG,Brute force|Dfs and similar,brute force|dfs and similar,1082,0.645,Medium,
316A2,Special Task,Mathematics including integration differential equations etc,math,1639,0.366,Easy,
316A1,Special Task,Greedy algorithms,greedy,1886,0.353,Easy,
315B,Sereja and Array,Implementation problems programming technics simulation,implementation,3013,0.0,Easy,
315A,Sereja and Bottles,Brute force,brute force,2892,0.298,Easy,
314E,Sereja and Squares,Dynamic programming,dp,127,0.706,Medium,
314D,Sereja and Straight Lines,Binary search|Heaps binary search trees segment trees hash tables etc|Geometry computational geometry|Sortings orderings|Two pointers,binary search|data structures|geometry|sortings|two pointers,279,0.781,Hard,
314C,Sereja and Subsequences,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,930,0.739,Hard,
314B,Sereja and Periods,Binary search|Dfs and similar|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,binary search|dfs and similar|strings,821,0.645,Medium,
314A,Sereja and Contest,Implementation problems programming technics simulation,implementation,1451,0.0,Easy,
313E,Ilya and Two Numbers,Constructive algorithms|Heaps binary search trees segment trees hash tables etc|Disjoint set union|Greedy algorithms,constructive algorithms|data structures|dsu|greedy,278,0.739,Hard,
313D,Ilya and Roads,Dynamic programming,dp,729,0.706,Medium,
313C,Ilya and Matrix,Constructive algorithms|Greedy algorithms|Implementation problems programming technics simulation|Sortings orderings,constructive algorithms|greedy|implementation|sortings,2358,0.433,Medium,
313B,Ilya and Queries,Dynamic programming|Implementation problems programming technics simulation,dp|implementation,6641,0.706,Medium,
313A,Ilya and Bank Account,Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,implementation|number theory,8940,0.489,Medium,
312B,Archer,Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc,math|probabilities,3144,0.802,Hard,
312A,Whose sentence is it?,Implementation problems programming technics simulation,implementation,2970,0.0,Easy,
311E,Biologist,Graph network flows,flows,164,0.877,Hard,
311D,Interval Cubing,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc,data structures|math,311,0.739,Hard,
311C,Fetch the Treasure,Brute force|Heaps binary search trees segment trees hash tables etc|Shortest paths on weighted and unweighted graphs,brute force|data structures|shortest paths,220,0.739,Hard,
311B,Cats Transport,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,516,0.739,Hard,
311A,The Closest Pair,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,2371,0.433,Medium,
309E,Sheep,Binary search|Greedy algorithms,binary search|greedy,55,0.582,Medium,
309D,Tennis Rackets,Brute force|Geometry computational geometry,brute force|geometry,100,0.781,Hard,
309C,Memory for Arrays,Binary search|Bitmasks|Greedy algorithms,binary search|bitmasks|greedy,348,0.728,Medium,
309B,Context Advertising,Two pointers,two pointers,241,0.528,Medium,
309A,Morning run,Binary search|Mathematics including integration differential equations etc|Two pointers,binary search|math|two pointers,290,0.582,Medium,
306D,Polygon,Constructive algorithms|Geometry computational geometry,constructive algorithms|geometry,116,0.781,Hard,
306C,White Black and White Again,Combinatorics|Number theory: Euler function GCD divisibility etc,combinatorics|number theory,217,0.687,Medium,
306B,Optimizer,Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Sortings orderings,data structures|greedy|sortings,211,0.739,Hard,
306A,Candies,Implementation problems programming technics simulation,implementation,1075,0.0,Easy,
305E,Playing with String,Games Sprague–Grundy theorem,games,296,0.663,Medium,
305D,Olya and Graph,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,303,0.687,Medium,
305C,Ivan and Powers of Two,,,1442,0.938,Hard,
305B,Continued Fractions,Brute force|Mathematics including integration differential equations etc,brute force|math,1381,0.366,Easy,
305A,Strange Addition,Brute force|Constructive algorithms,brute force|constructive algorithms,2070,0.433,Medium,
304B,Calendar,Brute force|Implementation problems programming technics simulation,brute force|implementation,1654,0.298,Easy,
304A,Pythagorean Theorem II,Brute force|Mathematics including integration differential equations etc,brute force|math,3275,0.366,Easy,
303E,Random Ranking,Dynamic programming,dp,80,0.706,Medium,
303D,Rotatable Number,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,133,0.489,Medium,
303C,Minimum Modular,Brute force|Mathematics including integration differential equations etc,brute force|math,479,0.366,Easy,
303B,Rectangle Puzzle II,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,967,0.366,Easy,
303A,Lucky Permutation Triple,Constructive algorithms|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,constructive algorithms|implementation|math,2263,0.433,Medium,
302B,Eugeny and Play List,Binary search|Implementation problems programming technics simulation|Two pointers,binary search|implementation|two pointers,2540,0.582,Medium,
302A,Eugeny and Array,Implementation problems programming technics simulation,implementation,3590,0.0,Easy,
301E,Yaroslav and Arrangements,Dynamic programming,dp,105,0.706,Medium,
301D,Yaroslav and Divisors,Heaps binary search trees segment trees hash tables etc,data structures,664,0.739,Hard,
301C,Yaroslav and Algorithm,Constructive algorithms,constructive algorithms,263,0.433,Medium,
301B,Yaroslav and Time,Binary search|Graphs|Shortest paths on weighted and unweighted graphs,binary search|graphs|shortest paths,1088,0.732,Hard,
301A,Yaroslav and Sequence,Constructive algorithms,constructive algorithms,1792,0.433,Medium,
300E,Empire Strikes Back,Binary search|Mathematics including integration differential equations etc,binary search|math,403,0.582,Medium,
300D,Painting Square,Dynamic programming|Fast Fourier transform,dp|fft,309,0.926,Hard,
300C,Beautiful Numbers,Brute force|Combinatorics,brute force|combinatorics,1833,0.687,Medium,
300B,Coach,Brute force|Dfs and similar,brute force|dfs and similar,2351,0.645,Medium,
300A,Array,Brute force|Constructive algorithms|Implementation problems programming technics simulation,brute force|constructive algorithms|implementation,5016,0.433,Medium,
299B,Ksusha the Squirrel,Brute force|Implementation problems programming technics simulation,brute force|implementation,1683,0.298,Easy,
299A,Ksusha and Array,Brute force|Number theory: Euler function GCD divisibility etc|Sortings orderings,brute force|number theory|sortings,2286,0.489,Medium,
298B,Sail,Brute force|Greedy algorithms|Implementation problems programming technics simulation,brute force|greedy|implementation,2982,0.353,Easy,
298A,Snow Footprints,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,2932,0.353,Easy,
297E,Mystic Carvings,Heaps binary search trees segment trees hash tables etc,data structures,99,0.739,Hard,
297D,Color the Carpet,Constructive algorithms,constructive algorithms,248,0.433,Medium,
297C,Splitting the Uniqueness,Constructive algorithms,constructive algorithms,490,0.433,Medium,
297B,Fish Weight,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,2057,0.433,Medium,
297A,Parity Game,Constructive algorithms,constructive algorithms,2260,0.433,Medium,
296B,Yaroslav and Two Strings,Combinatorics|Dynamic programming,combinatorics|dp,718,0.706,Medium,
296A,Yaroslav and Permutations,Greedy algorithms|Mathematics including integration differential equations etc,greedy|math,4374,0.366,Easy,
295E,Yaroslav and Points,Heaps binary search trees segment trees hash tables etc,data structures,307,0.739,Hard,
295D,Greg and Caves,Combinatorics|Dynamic programming,combinatorics|dp,288,0.706,Medium,
295C,Greg and Friends,Combinatorics|Dynamic programming|Graphs|Shortest paths on weighted and unweighted graphs,combinatorics|dp|graphs|shortest paths,775,0.732,Hard,
295B,Greg and Graph,Dynamic programming|Graphs|Shortest paths on weighted and unweighted graphs,dp|graphs|shortest paths,2425,0.732,Hard,
295A,Greg and Array,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,3233,0.739,Hard,
294E,Shaass the Great,Dynamic programming|Trees,dp|trees,338,0.756,Hard,
294D,Shaass and Painter Robot,Brute force|Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,brute force|implementation|number theory,148,0.489,Medium,
294C,Shaass and Lights,Combinatorics|Number theory: Euler function GCD divisibility etc,combinatorics|number theory,1195,0.687,Medium,
294B,Shaass and Bookshelf,Dynamic programming|Greedy algorithms,dp|greedy,1773,0.706,Medium,
294A,Shaass and Oskols,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,4418,0.366,Easy,
293E,Close Vertices,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Trees,data structures|divide and conquer|trees,241,0.857,Hard,
293D,Ksusha and Square,Geometry computational geometry|Mathematics including integration differential equations etc|Probabilities expected values statistics random variables etc|Two pointers,geometry|math|probabilities|two pointers,140,0.802,Hard,
293C,Cube Problem,Brute force|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,brute force|math|number theory,386,0.489,Medium,
293B,Distinct Paths,Brute force|Combinatorics,brute force|combinatorics,256,0.687,Medium,
293A,Weird Game,Games Sprague–Grundy theorem|Greedy algorithms,games|greedy,1470,0.663,Medium,
292E,Copying Data,Heaps binary search trees segment trees hash tables etc,data structures,1211,0.739,Hard,
292D,Connected Components,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Dynamic programming|Disjoint set union,data structures|dfs and similar|dp|dsu,990,0.739,Hard,
292C,Beautiful IP Addresses,Brute force,brute force,602,0.298,Easy,
292B,Network Topology,Graphs|Implementation problems programming technics simulation,graphs|implementation,2564,0.705,Medium,
292A,SMSC,Implementation problems programming technics simulation,implementation,1740,0.0,Easy,
291E,Tree-String Problem,Dfs and similar|Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dfs and similar|hashing|strings,665,0.714,Medium,
291D,Parallel Programming,Greedy algorithms,greedy,1281,0.353,Easy,
291C,Network Mask,Brute force|Implementation problems programming technics simulation,brute force|implementation,1488,0.298,Easy,
291B,Command Line Arguments,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,2512,0.331,Easy,
291A,Spyke Talks,Implementation problems programming technics simulation|Sortings orderings,implementation|sortings,3810,0.275,Easy,
290F,Greedy Petya,Dfs and similar|Graphs|Greedy algorithms,dfs and similar|graphs|greedy,36,0.705,Medium,
290E,HQ,Constructive algorithms,constructive algorithms,78,0.433,Medium,
290D,Orange,Implementation problems programming technics simulation,implementation,1369,0.0,Easy,
290C,WTF?,Graph matchings König's theorem vertex cover of bipartite graph|Implementation problems programming technics simulation|Trees,graph matchings|implementation|trees,846,0.756,Hard,
290B,QR code,Implementation problems programming technics simulation,implementation,1662,0.0,Easy,
290A,Mysterious strings,Implementation problems programming technics simulation,implementation,2014,0.0,Easy,
289B,Polo the Penguin and Matrix,Brute force|Dynamic programming|Implementation problems programming technics simulation|Sortings orderings|Ternary search,brute force|dp|implementation|sortings|ternary search,3493,0.706,Medium,
289A,Polo the Penguin and Segments,Brute force|Implementation problems programming technics simulation,brute force|implementation,2842,0.298,Easy,
288E,Polo the Penguin and Lucky Numbers,Dynamic programming|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,dp|implementation|math,128,0.706,Medium,
288D,Polo the Penguin and Trees,Combinatorics|Dfs and similar|Trees,combinatorics|dfs and similar|trees,374,0.756,Hard,
288C,Polo the Penguin and XOR operation,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,1351,0.366,Easy,
288B,Polo the Penguin and Houses,Combinatorics,combinatorics,1732,0.687,Medium,
288A,Polo the Penguin and Strings,Greedy algorithms,greedy,3938,0.353,Easy,
287B,Pipeline,Binary search|Mathematics including integration differential equations etc,binary search|math,1822,0.582,Medium,
287A,IQ Test,Brute force|Implementation problems programming technics simulation,brute force|implementation,4388,0.298,Easy,
286E,Ladies' Shop,Constructive algorithms|Fast Fourier transform|Mathematics including integration differential equations etc,constructive algorithms|fft|math,212,0.926,Hard,
286D,Tourists,Heaps binary search trees segment trees hash tables etc|Sortings orderings,data structures|sortings,200,0.739,Hard,
286C,Main Sequence,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,717,0.353,Easy,
286B,Shifting,Implementation problems programming technics simulation,implementation,671,0.0,Easy,
286A,Lucky Permutation,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,1996,0.433,Medium,
285E,Positions in Permutations,Combinatorics|Dynamic programming|Mathematics including integration differential equations etc,combinatorics|dp|math,222,0.706,Medium,
285D,Permutation Sum,Bitmasks|Combinatorics|Dynamic programming|Implementation problems programming technics simulation|Meet-in-the-middle,bitmasks|combinatorics|dp|implementation|meet-in-the-middle,935,0.728,Medium,
285C,Building Permutation,Greedy algorithms|Implementation problems programming technics simulation|Sortings orderings,greedy|implementation|sortings,4980,0.353,Easy,
285B,Find Marble,Implementation problems programming technics simulation,implementation,4229,0.0,Easy,
285A,Slightly Decreasing Permutations,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,4630,0.353,Easy,
284B,Cows and Poker Game,Brute force|Implementation problems programming technics simulation,brute force|implementation,3347,0.298,Easy,
284A,Cows and Primitive Roots,Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,implementation|math|number theory,2792,0.489,Medium,
283E,Cow Tennis Tournament,Combinatorics|Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc,combinatorics|data structures|math,227,0.739,Hard,
283D,Cows and Cool Sequences,Dynamic programming|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,dp|math|number theory,283,0.706,Medium,
283C,Coin Troubles,Dynamic programming,dp,740,0.706,Medium,
283B,Cow Program,Dfs and similar|Dynamic programming|Graphs,dfs and similar|dp|graphs,1608,0.706,Medium,
283A,Cows and Sequence,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,2838,0.433,Medium,
282E,Sausage Maximization,Bitmasks|Heaps binary search trees segment trees hash tables etc|Trees,bitmasks|data structures|trees,968,0.756,Hard,
282D,Yet Another Number Game,Dynamic programming|Games Sprague–Grundy theorem,dp|games,758,0.706,Medium,
282C,XOR and OR,Constructive algorithms|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,constructive algorithms|implementation|math,3091,0.433,Medium,
282B,Painting Eggs,Greedy algorithms|Mathematics including integration differential equations etc,greedy|math,3461,0.366,Easy,
282A,Bit++,Implementation problems programming technics simulation,implementation,20003,0.0,Easy,
281B,Nearest Fraction,Brute force|Implementation problems programming technics simulation|Two pointers,brute force|implementation|two pointers,1599,0.528,Medium,
281A,Word Capitalization,Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,strings,15045,0.331,Easy,
